Collection Terms,Tags,Category_1,Category_2,Category_3
#somosmexico,earthquake,/Disaster_Types/Natural/Geophysical/Seismic_Activity/Earthquake,,
#prayersformexico,earthquake,/Disaster_Types/Natural/Geophysical/Seismic_Activity/Earthquake,,
#ayudacdmx,earthquake,/Disaster_Types/Natural/Geophysical/Seismic_Activity/Earthquake,,
#fuerzamexico,/Disaster_Types/Natural/Geophysical/Seismic_Activity/Earthquake,/Disaster_Types/Natural/Geophysical/Seismic_Activity/Earthquake,,
#sismo,/Disaster_Types/Natural/Geophysical/Seismic_Activity/Earthquake,/Disaster_Types/Natural/Geophysical/Seismic_Activity/Earthquake,,
#northkorea #earthquake,Earthquake,Earthquake,,
north korea earthquake,Nuclear,Nuclear,,
#shooting #LasVegas,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,,
#VegasShooting,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,,
#HurricaneNate,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
Hurricane Nate,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
#CaliforniaWildfires,Road,Road,,
earthquake Iraq Iran,WildFire,WildFire,,
Manchester arena attack,Earthquake,Earthquake,,
World Health Organization,Attack,Attack,,
wind power,International,International,,
Dunbar High School shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,
NIU shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,
Virginia Tech shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,
Worthing High School shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,
Sparks Middle School shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,
Umpqua College shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,
Townville School shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,
University Alabama shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,
kentucky school shooting,Wind,Wind,,
#ParklandSchoolShooting,Shooting,Shooting,,
Douglas shooting,Shooting,Shooting,,
